ID,NAME,IP_HOST,IP_PORT,CONNECTION_MODE,TCP_OUT_HOST,TCP_OUT_PORT,CREATED_AT,ACTIVE
19b1d0dd-3eb7-463c-9f34-c3f455011db8,ConfigNamed,153.44.253.27,5631,client,127.0.0.1,4008,2025-09-18T02:58:08.530Z,false
dde9551c-b927-4320-946e-48f66a82f639,ahay,vps1.osi.my.id,6000,client,127.0.0.1,7777,2025-09-17T20:49:33.570Z,true
